Unnamed: 0,event_id,datetime,dm,RA,Dec,is_in_DESI
3185,54472661,2019-09-13 15:10:46.192878 UTC+0000,452.8991699219,98.7387098466,85.3971507446,False
3186,54427681,2019-09-13 05:21:03.547650 UTC+0000,1074.0180664062,136.3698447435,85.4776005258,False
3187,54296780,2019-09-12 09:46:46.239695 UTC+0000,338.0568847656,17.8524677664,67.3489371687,False
3188,54295748,2019-09-12 08:58:31.981191 UTC+0000,784.4860839844,3.7357221601,66.5054167925,False
3189,54295013,2019-09-12 08:51:35.250875 UTC+0000,131.0172576904,3.6960973819,6.0977832886,True
3190,54262250,2019-09-12 04:54:26.037854 UTC+0000,583.9164428711,303.4020258075,53.1318828648,False
3191,54231573,2019-09-12 00:50:27.392604 UTC+0000,211.8921203613,243.7483039137,22.3998708001,True
3192,54225304,2019-09-12 00:39:59.143539 UTC+0000,579.0639648438,239.1249989417,79.8523629365,True
3193,54171202,2019-09-11 14:21:51.246348 UTC+0000,76.0223617554,85.8504838564,23.4978651717,False
3194,54094923,2019-09-10 23:18:57.531998 UTC+0000,1046.5206298828,219.6579196836,52.9019477555,True
3195,54079449,2019-09-10 20:19:33.778772 UTC+0000,1649.8470458984,174.5727012346,62.3298925088,True
3196,53890949,2019-09-08 09:34:47.798464 UTC+0000,685.8187866211,9.6464728543,71.8916710307,False
3197,52839758,2019-09-07 17:02:47.762091 UTC+0000,307.324432373,122.2119256118,46.2740669203,True
3198,52784054,2019-09-07 07:35:29.522368 UTC+0000,619.5014038086,340.2142065446,72.7446002362,False
3199,52749832,2019-09-07 02:25:54.438930 UTC+0000,457.7516784668,261.4577278236,74.5617583375,True
3200,52733002,2019-09-06 23:12:48.911449 UTC+0000,528.9215698242,214.8184292193,50.5697740483,True
3201,52473268,2019-09-05 09:13:14.167956 UTC+0000,253.9470367432,58.9799624884,89.5019913531,False
3202,52425525,2019-09-05 02:26:14.573552 UTC+0000,253.9470367432,259.9824308091,13.2753229324,True
3203,52317849,2019-09-04 14:12:23.299694 UTC+0000,918.7383422852,76.6207337118,7.2351511621,False
3204,52239986,2019-09-03 21:27:58.923476 UTC+0000,541.8615112305,183.5194761337,41.2515406277,True
3205,52212330,2019-09-03 16:45:51.446533 UTC+0000,794.1910400391,113.6191290399,27.0910199483,True
3206,52181976,2019-09-03 12:25:25.168522 UTC+0000,211.8921203613,47.9109413366,21.414947019,False
3207,52178293,2019-09-03 11:00:41.231672 UTC+0000,875.0659179688,26.8947981478,51.16071145,False
3208,52113828,2019-09-03 00:11:06.920046 UTC+0000,706.8462524414,224.3215251176,34.0978520628,True
3209,52088097,2019-09-02 17:18:00.785415 UTC+0000,577.446472168,121.0752349172,52.0885717348,True
3210,52081326,2019-09-02 15:01:18.126638 UTC+0000,1659.5520019531,86.8834049847,18.3687916812,False
3211,52080349,2019-09-02 14:54:12.368084 UTC+0000,758.6061401367,85.6080079306,35.6147675245,False
3212,52057100,2019-09-02 09:47:10.229941 UTC+0000,179.542175293,7.688497918,33.1044859877,True
3213,52005976,2019-09-02 02:40:42.941304 UTC+0000,842.716003418,260.4466188887,68.7037584605,True
3214,51932682,2019-09-01 16:50:30.285831 UTC+0000,131.0172576904,113.2289860668,40.4110371829,True
3215,51818721,2019-09-01 02:57:32.280571 UTC+0000,761.8411254883,264.5444890198,27.9037842934,True
3216,51705017,2019-08-31 07:36:06.603968 UTC+0000,46.9074134827,332.4842836025,21.3846259224,True
3217,51704200,2019-08-31 07:30:25.276751 UTC+0000,71.1698684692,331.0075686326,29.4508448098,True
3218,51633032,2019-08-29 20:04:47.098457 UTC+0000,771.546081543,154.11196102,82.624277519,True
3219,51611286,2019-08-29 13:40:06.766292 UTC+0000,435.1067199707,61.4285228592,42.2634755496,False
3220,51595301,2019-08-29 10:06:31.086149 UTC+0000,1394.2824707031,9.7542434803,52.7077444601,False
3221,51336260,2019-08-27 07:37:30.155707 UTC+0000,705.2286987305,328.8618932658,66.9764167048,False
3222,51331350,2019-08-27 06:40:32.904192 UTC+0000,334.8218994141,315.5732416722,50.7953751719,False
3223,51281671,2019-08-26 17:03:53.613560 UTC+0000,2306.55078125,112.8591246283,81.2014284199,True
3224,51224717,2019-08-26 13:29:55.881863 UTC+0000,312.176940918,55.490289837,79.9302913442,False
3225,51199503,2019-08-26 07:50:46.843760 UTC+0000,45.2899169922,332.5738691624,21.3883544216,True
3226,51199484,2019-08-26 07:50:36.274117 UTC+0000,45.2899169922,332.5290610324,21.3890335433,True
3227,51115109,2019-08-25 14:33:22.654128 UTC+0000,396.2867736816,72.4523852522,21.0230041611,False
