event_id,dm,RA,Dec,is_in_DESI,DMhalo,DMISM,DM_Cosm,z
1,611.8182983398 pc / cm3,179.8971683697,61.0854526991,True,40.0 pc / cm3,32.69518179990584 pc / cm3,539.1231165398941 pc / cm3,0.4896770959612148
2,257.1820373535 pc / cm3,285.9612457904,67.4473639715,True,40.0 pc / cm3,58.61475336115219 pc / cm3,158.5672839923478 pc / cm3,0.06959188289449067
3,577.446472168 pc / cm3,136.9751204785,3.3931668234,True,40.0 pc / cm3,50.50947416158378 pc / cm3,486.9369980064162 pc / cm3,0.4339557384002536
4,826.541015625 pc / cm3,154.1938265009,31.3272866548,True,40.0 pc / cm3,34.301305932897996 pc / cm3,752.239709692102 pc / cm3,0.7150196637580104
5,221.1927185059 pc / cm3,0.0,36.1383663772,False,40.0 pc / cm3,57.03178454998047 pc / cm3,124.16093395591952 pc / cm3,0.028854401712859336
6,308.9419555664 pc / cm3,96.4601740919,83.5623891209,False,40.0 pc / cm3,56.60416409069478 pc / cm3,212.33779147570522 pc / cm3,0.13186191048164458
7,1134.2697753906 pc / cm3,121.3371498132,11.2523606185,True,40.0 pc / cm3,68.55676454932576 pc / cm3,1025.7130108412741 pc / cm3,1.0026378543302956
8,449.6641845703 pc / cm3,339.0133159713,42.7996132655,False,40.0 pc / cm3,100.19619616544793 pc / cm3,309.46798840485206 pc / cm3,0.24109176719911138
9,677.731262207 pc / cm3,109.0664179669,56.0401684872,True,40.0 pc / cm3,60.41843718931799 pc / cm3,577.312825017682 pc / cm3,0.5302740605523169
10,1609.4095458984 pc / cm3,130.2334706764,56.8091858082,True,40.0 pc / cm3,44.74395543479747 pc / cm3,1524.6655904636025 pc / cm3,1.5284060294714734
11,349.7837524414 pc / cm3,255.806873229,25.6647294346,True,40.0 pc / cm3,45.813743447564946 pc / cm3,263.97000899383505 pc / cm3,0.19036706208238707
12,748.9011230469 pc / cm3,117.3823169906,17.3848983295,True,40.0 pc / cm3,71.99636988264515 pc / cm3,636.9047531642549 pc / cm3,0.5933903612181304
13,635.6763305664 pc / cm3,157.0707543017,31.6345761637,True,40.0 pc / cm3,32.815480590710614 pc / cm3,562.8608499756893 pc / cm3,0.5149267070752241
14,1085.7448730469 pc / cm3,115.2227745368,1.2865298027,False,40.0 pc / cm3,102.46351835602644 pc / cm3,943.2813546908735 pc / cm3,0.9159119547807278
15,410.8442687988 pc / cm3,137.8423230039,11.7996286614,True,40.0 pc / cm3,45.94081975328017 pc / cm3,324.90344904551984 pc / cm3,0.258151946834535
16,362.7237243652 pc / cm3,329.9638704683,12.1878165038,True,40.0 pc / cm3,46.7481839062138 pc / cm3,275.9755404589862 pc / cm3,0.20382007360982698
17,1334.4350585938 pc / cm3,220.8735184901,22.0121228025,True,40.0 pc / cm3,22.04522466288409 pc / cm3,1272.389833930916 pc / cm3,1.2620751416243776
18,304.4938354492 pc / cm3,199.0521413819,27.376633417,True,40.0 pc / cm3,21.63184406130266 pc / cm3,242.86199138789732 pc / cm3,0.1665827757824032
19,1334.4350585938 pc / cm3,266.1833196386,21.1701634622,True,40.0 pc / cm3,67.33783876921525 pc / cm3,1227.0972198245847 pc / cm3,1.2144253250129864
20,625.9713745117 pc / cm3,193.3153519866,43.1299388251,True,40.0 pc / cm3,23.008762769140024 pc / cm3,562.96261174256 pc / cm3,0.5150348375669443
21,179.542175293 pc / cm3,141.7700464093,-6.5680864014,True,40.0 pc / cm3,52.608603962275616 pc / cm3,86.93357133072439 pc / cm3,
22,377.2811889648 pc / cm3,334.8298044729,71.6791339549,False,40.0 pc / cm3,107.11481381137817 pc / cm3,230.16637515342182 pc / cm3,0.15219102848492425
23,338.0568847656 pc / cm3,269.4375734588,34.5047338978,True,40.0 pc / cm3,58.31946856479005 pc / cm3,239.73741620080995 pc / cm3,0.16304700841568928
24,271.7395019531 pc / cm3,279.3345637034,82.1731272641,False,40.0 pc / cm3,53.134582467372994 pc / cm3,178.604919485727 pc / cm3,0.0929788939280292
25,344.5268859863 pc / cm3,222.9212888981,46.2991745507,True,40.0 pc / cm3,30.98105465718666 pc / cm3,273.5458313291133 pc / cm3,0.2011015897746358
26,459.3691711426 pc / cm3,255.3557178075,40.4110371829,True,40.0 pc / cm3,40.88626101086704 pc / cm3,378.482910131733 pc / cm3,0.3168798294064374
27,452.8991699219 pc / cm3,288.2603039265,61.5312130538,True,40.0 pc / cm3,64.33217484521143 pc / cm3,348.5669950766886 pc / cm3,0.2841778933303248
28,677.731262207 pc / cm3,168.7133839066,38.8422124098,True,40.0 pc / cm3,25.692639844224235 pc / cm3,612.0386223627758 pc / cm3,0.5670833930077959
29,433.4892272949 pc / cm3,204.3102696632,52.0885717348,True,40.0 pc / cm3,29.782295873177635 pc / cm3,363.70693142172235 pc / cm3,0.3007541688802543
30,364.7456054688 pc / cm3,202.3091615738,63.9321375061,True,40.0 pc / cm3,32.936299146451304 pc / cm3,291.80930632234873 pc / cm3,0.22148601503786763
31,1911.8815917969 pc / cm3,257.7733098757,26.2256120718,True,40.0 pc / cm3,47.54907415612792 pc / cm3,1824.332517640772 pc / cm3,1.8485271601564388
32,435.1067199707 pc / cm3,164.0309969961,41.6429214814,True,40.0 pc / cm3,29.774161556287083 pc / cm3,365.3325584144129 pc / cm3,0.3025307427721816
33,286.2969970703 pc / cm3,182.6998653066,83.7948589793,True,40.0 pc / cm3,45.9258233083462 pc / cm3,200.3711737619538 pc / cm3,0.11813395153243683
34,470.6916503906 pc / cm3,240.4287743304,46.7057960327,True,40.0 pc / cm3,34.341636074385434 pc / cm3,396.3500143162146 pc / cm3,0.33631498442726415
35,934.5089111328 pc / cm3,141.5982209351,19.3581245501,True,40.0 pc / cm3,41.224416469247096 pc / cm3,853.2844946635529 pc / cm3,0.8212947003104759
36,278.2095031738 pc / cm3,238.9769483907,37.6611404249,True,40.0 pc / cm3,28.411691473056162 pc / cm3,209.79781170074384 pc / cm3,0.12895382507409
37,26.6887016296 pc / cm3,244.1120752426,49.0284457895,True,40.0 pc / cm3,36.110543692828614 pc / cm3,0,
38,537.0090332031 pc / cm3,194.3730345192,45.1096147547,True,40.0 pc / cm3,24.698140221200223 pc / cm3,472.31089298189977 pc / cm3,0.4182780602159837
39,693.0974731445 pc / cm3,149.6129088661,30.2316117043,True,40.0 pc / cm3,35.8855787963142 pc / cm3,617.2118943481858 pc / cm3,0.5725596634382966
40,1513.5728759766 pc / cm3,176.0552393118,39.8516992954,True,40.0 pc / cm3,20.416053054108048 pc / cm3,1453.156822922492 pc / cm3,1.4526997932659524
41,890.8365478516 pc / cm3,0.0,64.7205289359,False,40.0 pc / cm3,199.66728230311847 pc / cm3,651.1692655484816 pc / cm3,0.6084648652968339
42,1119.3079833984 pc / cm3,265.8949063184,20.2810137949,True,40.0 pc / cm3,68.11985282783816 pc / cm3,1011.1881305705618 pc / cm3,0.9873492061084443
43,577.446472168 pc / cm3,240.847901931,46.0489141792,True,40.0 pc / cm3,34.042274179224066 pc / cm3,503.40419798877593 pc / cm3,0.45157316131214803
44,735.9611816406 pc / cm3,219.025133209,54.0272586059,True,40.0 pc / cm3,31.395249565071968 pc / cm3,664.565932075528 pc / cm3,0.6226124381163631
45,913.8858642578 pc / cm3,254.096346404,32.4482974095,True,40.0 pc / cm3,41.12143825828847 pc / cm3,832.7644259995116 pc / cm3,0.7997216800523553
46,485.2491149902 pc / cm3,204.137791631,82.1509588851,True,40.0 pc / cm3,44.03321751372799 pc / cm3,401.215897476472 pc / cm3,0.3415964463241311
47,503.041595459 pc / cm3,221.7033453659,12.1922583355,True,40.0 pc / cm3,24.36537483897631 pc / cm3,438.6762206200237 pc / cm3,0.3821062814805775
48,45.2899169922 pc / cm3,12.8819506753,60.4894402369,False,40.0 pc / cm3,191.23208350938842 pc / cm3,0,
49,570.9764404297 pc / cm3,201.8823695101,29.6183302904,True,40.0 pc / cm3,22.615129206712204 pc / cm3,508.3613112229878 pc / cm3,0.45686993763079464
50,229.2802124023 pc / cm3,164.5799229859,3.4463565875,True,40.0 pc / cm3,34.97935369379835 pc / cm3,154.30085870850166 pc / cm3,0.06458174762077556
51,352.6143493652 pc / cm3,41.034614484,18.8901956261,True,40.0 pc / cm3,46.32934330544571 pc / cm3,266.28500605975427 pc / cm3,0.19296523953570588
52,1025.8975830078 pc / cm3,113.2220552565,40.3562098838,True,40.0 pc / cm3,64.1855672219521 pc / cm3,921.7120157858479 pc / cm3,0.8932317186647983
53,658.3212890625 pc / cm3,343.971434561,47.4501548467,False,40.0 pc / cm3,118.85982255649584 pc / cm3,499.4614665060042 pc / cm3,0.4473581409336988
54,2707.607421875 pc / cm3,160.1387321697,2.8349016533,True,40.0 pc / cm3,36.636828106795505 pc / cm3,2630.9705937682047 pc / cm3,2.7475022386118377
55,140.3178710938 pc / cm3,259.8864652392,36.4472458324,True,40.0 pc / cm3,45.34746125723836 pc / cm3,54.970409836561636 pc / cm3,
56,262.0345153809 pc / cm3,122.5990021735,20.9535196768,True,40.0 pc / cm3,59.63266398129789 pc / cm3,162.40185139960212 pc / cm3,0.07408548985824022
57,175.9028015137 pc / cm3,187.3687020998,76.4078207739,True,40.0 pc / cm3,39.375864313364445 pc / cm3,96.52693720033557 pc / cm3,
58,367.1718444824 pc / cm3,126.6779673908,51.7583128149,True,40.0 pc / cm3,47.071583631132945 pc / cm3,280.100260851267 pc / cm3,0.20843029428975696
59,532.1565551758 pc / cm3,265.2560633808,2.4769053542,False,40.0 pc / cm3,113.49620264279102 pc / cm3,378.660352533009 pc / cm3,0.3170731814389566
60,1148.8272705078 pc / cm3,131.9400666851,-7.7901133449,True,40.0 pc / cm3,67.44968683658826 pc / cm3,1041.3775836712118 pc / cm3,1.0191241569090461
61,2578.2902832031 pc / cm3,160.3950938039,53.9447475566,True,40.0 pc / cm3,33.87915592745177 pc / cm3,2504.411127275648 pc / cm3,2.6018945290916404
62,1381.3425292969 pc / cm3,249.6736742352,63.514263745,True,40.0 pc / cm3,39.47773077695373 pc / cm3,1301.8647985199464 pc / cm3,1.2931016758915548
63,1918.3515625 pc / cm3,284.0021506885,61.8592562449,True,40.0 pc / cm3,59.394476683903164 pc / cm3,1818.9570858160969 pc / cm3,1.8427352370476275
64,359.0843505859 pc / cm3,233.5808221268,43.934833305,True,40.0 pc / cm3,28.77938430127309 pc / cm3,290.3049662846269 pc / cm3,0.21981121341883508
65,611.8182983398 pc / cm3,253.4550301049,48.6157643319,True,40.0 pc / cm3,39.66206544860347 pc / cm3,532.1562328911965 pc / cm3,0.48225595500131746
66,192.0777740479 pc / cm3,331.7478830592,53.2617211685,False,40.0 pc / cm3,242.858492117867 pc / cm3,0,
67,415.292388916 pc / cm3,161.7891387963,59.9664950109,True,40.0 pc / cm3,34.84938492508135 pc / cm3,340.44300399091867 pc / cm3,0.2752595750838579
68,609.7963867188 pc / cm3,332.5528339452,59.5448111836,False,40.0 pc / cm3,222.8285473260553 pc / cm3,346.96783939274474 pc / cm3,0.28242371499456187
69,173.0721893311 pc / cm3,246.6952960279,55.4982383096,True,40.0 pc / cm3,37.28797334451049 pc / cm3,95.7842159865895 pc / cm3,
70,981.4163818359 pc / cm3,173.8755609136,0.5986080646,True,40.0 pc / cm3,33.030312105008306 pc / cm3,908.3860697308917 pc / cm3,0.8792211010939012
71,2707.607421875 pc / cm3,236.0966677854,74.6433866945,True,40.0 pc / cm3,40.752605403264546 pc / cm3,2626.8548164717354 pc / cm3,2.742736595024255
72,888.0059204102 pc / cm3,213.2586424352,38.0807295057,True,40.0 pc / cm3,23.618870043904934 pc / cm3,824.3870503662951 pc / cm3,0.7909136805096915
73,341.2918701172 pc / cm3,127.4653252603,46.2994653031,True,40.0 pc / cm3,47.280989021471406 pc / cm3,254.0108810957286 pc / cm3,0.17916678871307934
74,514.3483886719 pc / cm3,243.1773165253,71.6791339549,True,40.0 pc / cm3,40.527437676235934 pc / cm3,433.8209509956641 pc / cm3,0.37686987531481375
75,325.1169128418 pc / cm3,138.5821633245,41.5860462409,True,40.0 pc / cm3,41.00554046387502 pc / cm3,244.11137237792497 pc / cm3,0.16799545860297785
76,1268.0789794922 pc / cm3,166.1236034779,45.5292944448,True,40.0 pc / cm3,30.01082609338867 pc / cm3,1198.0681533988113 pc / cm3,1.1838977468651137
77,1573.8247070312 pc / cm3,204.9693318411,40.4628078216,True,40.0 pc / cm3,25.633966573042294 pc / cm3,1508.1907404581577 pc / cm3,1.5109453810791642
78,1137.1004638672 pc / cm3,6.8872004433,57.209141841,False,40.0 pc / cm3,166.81110932780624 pc / cm3,930.2893545393938 pc / cm3,0.9022503769961918
79,813.6010131836 pc / cm3,249.829322881,15.0310675103,True,40.0 pc / cm3,43.747536535222615 pc / cm3,729.8534766483774 pc / cm3,0.6914491838216613
80,561.271484375 pc / cm3,97.1950756914,46.2451689591,True,40.0 pc / cm3,88.53818317349129 pc / cm3,432.7333012015087 pc / cm3,0.3756962974664283
81,1366.7850341797 pc / cm3,230.5077869159,53.2672550293,True,40.0 pc / cm3,33.05204155176298 pc / cm3,1293.732992627937 pc / cm3,1.284540178599111
82,1398.7305908203 pc / cm3,253.484895105,18.2644022188,True,40.0 pc / cm3,47.39472974394447 pc / cm3,1311.3358610763555 pc / cm3,1.3030748987015495
83,549.5446166992 pc / cm3,208.2600839621,13.1521675886,True,40.0 pc / cm3,23.18541711140194 pc / cm3,486.35919958779806 pc / cm3,0.43333694757089913
84,1756.6018066406 pc / cm3,192.0489932413,12.6589861053,True,40.0 pc / cm3,26.919076924583994 pc / cm3,1689.682729716016 pc / cm3,1.7040332546949308
85,580.6814575195 pc / cm3,126.7965608931,52.1168750892,True,40.0 pc / cm3,47.01948560365708 pc / cm3,493.6619719158429 pc / cm3,0.4411546110256341
86,891.6452636719 pc / cm3,355.9307312754,45.1321466225,False,40.0 pc / cm3,85.73140975271268 pc / cm3,765.9138539191873 pc / cm3,0.7294110492273109
87,338.4612731934 pc / cm3,253.5341573961,82.624277519,True,40.0 pc / cm3,48.490531992293604 pc / cm3,249.97074120110642 pc / cm3,0.1746122854551106
88,2040.4725341797 pc / cm3,249.9209608946,48.629296772,True,40.0 pc / cm3,38.19743530403366 pc / cm3,1962.2750988756663 pc / cm3,1.9979010334520204
89,221.1927185059 pc / cm3,337.3823362752,3.0763563538,True,40.0 pc / cm3,38.46785918988786 pc / cm3,142.72485931601213 pc / cm3,0.05093064135972279
90,981.8207397461 pc / cm3,163.6347832675,68.7398154835,True,40.0 pc / cm3,37.42546538595578 pc / cm3,904.3952743601442 pc / cm3,0.8750254580108454
91,214.7227325439 pc / cm3,283.7943390018,20.2503791825,False,40.0 pc / cm3,201.7575198215962 pc / cm3,0,
92,101.0935668945 pc / cm3,231.1741668998,48.9394006378,True,40.0 pc / cm3,32.75127253262707 pc / cm3,28.34229436187293 pc / cm3,
93,613.0313720703 pc / cm3,159.8208751999,20.6971465899,True,40.0 pc / cm3,32.7786610493696 pc / cm3,540.2527110209304 pc / cm3,0.49087987456485416
94,380.1118164062 pc / cm3,272.5056920495,25.4627037612,True,40.0 pc / cm3,78.09577178462357 pc / cm3,262.0160446215764 pc / cm3,0.1881725372824736
95,668.0263061523 pc / cm3,210.3260302156,83.2484698203,True,40.0 pc / cm3,45.2826022855128 pc / cm3,582.7437038667872 pc / cm3,0.5360368808965243
96,224.8320922852 pc / cm3,34.6630038241,71.2752385666,False,40.0 pc / cm3,122.85466380634158 pc / cm3,61.977428478858414 pc / cm3,
97,444.811706543 pc / cm3,272.5544462162,31.5832905046,True,40.0 pc / cm3,67.51842911650495 pc / cm3,337.2932774264951 pc / cm3,0.2717972681750068
98,412.8661193848 pc / cm3,18.0793071021,31.6337473271,True,40.0 pc / cm3,49.91936321693675 pc / cm3,322.94675616786327 pc / cm3,0.2559930981391478
99,369.1936950684 pc / cm3,225.3746898496,59.0422922131,True,40.0 pc / cm3,33.26260735704274 pc / cm3,295.9310877113573 pc / cm3,0.22607107798480747
100,690.6712646484 pc / cm3,238.6948829605,58.3113581858,True,40.0 pc / cm3,35.53195237260805 pc / cm3,615.1393122757919 pc / cm3,0.5703659035930392
101,322.6906738281 pc / cm3,162.0180715988,14.1178579008,True,40.0 pc / cm3,33.038394033170846 pc / cm3,249.65227979492914 pc / cm3,0.17425300932997134
102,526.8996582031 pc / cm3,232.8536843037,22.2453151622,True,40.0 pc / cm3,25.50093386403737 pc / cm3,461.3987243390626 pc / cm3,0.40656168255697195
103,138.700378418 pc / cm3,195.8233266276,49.8159328861,True,40.0 pc / cm3,27.908447437952983 pc / cm3,70.79193098004703 pc / cm3,
104,1340.9050292969 pc / cm3,129.5049380845,13.7437320736,True,40.0 pc / cm3,53.598943970852716 pc / cm3,1247.3060853260472 pc / cm3,1.2356824935394144
105,304.8981933594 pc / cm3,161.9816269679,80.3709582218,True,40.0 pc / cm3,44.15561629877603 pc / cm3,220.74257706062397 pc / cm3,0.14146336178480787
106,1976.5814208984 pc / cm3,352.6770880245,21.1375677851,True,40.0 pc / cm3,41.33178117333003 pc / cm3,1895.24963972507 pc / cm3,1.9251375216158577
107,885.5796508789 pc / cm3,225.9573023962,12.1884854344,True,40.0 pc / cm3,25.571733154696933 pc / cm3,820.007917724203 pc / cm3,0.7863092112832637
108,417.7186279297 pc / cm3,231.1741668998,19.9824656763,True,40.0 pc / cm3,25.266864422066682 pc / cm3,352.4517635076333 pc / cm3,0.28843657390074673
109,1318.2601318359 pc / cm3,103.8029383598,29.4443806,True,40.0 pc / cm3,96.52053185950084 pc / cm3,1181.7395999763992 pc / cm3,1.1667289674386248
110,2306.55078125 pc / cm3,199.7728025068,19.3488454298,True,40.0 pc / cm3,24.33941980555343 pc / cm3,2242.2113614444465 pc / cm3,2.306056746581363
111,643.3594360352 pc / cm3,221.7974029124,14.5922705716,True,40.0 pc / cm3,23.66968605149991 pc / cm3,579.6897499837002 pc / cm3,0.5327965609364078
112,985.0557250977 pc / cm3,305.6493488519,39.3125399464,False,40.0 pc / cm3,332.7740764497443 pc / cm3,612.2816486479558 pc / cm3,0.567340693337263
113,308.9419555664 pc / cm3,158.0925308148,49.4196083919,True,40.0 pc / cm3,33.78807578285383 pc / cm3,235.15387978354616 pc / cm3,0.15785295246601402
114,850.3991088867 pc / cm3,152.6140169883,51.7651009864,True,40.0 pc / cm3,35.55246655161558 pc / cm3,774.8466423350844 pc / cm3,0.738810219473442
115,1086.5537109375 pc / cm3,225.5470324527,-3.0982233844,True,40.0 pc / cm3,33.48244670410209 pc / cm3,1013.0712642333979 pc / cm3,0.989331174780491
116,304.4938354492 pc / cm3,121.588927063,29.0148714809,True,40.0 pc / cm3,58.056521735644104 pc / cm3,206.43731371355588 pc / cm3,0.12510159094238038
117,397.4999084473 pc / cm3,190.356881895,29.9894835094,True,40.0 pc / cm3,19.794734939391375 pc / cm3,337.7051735079086 pc / cm3,0.2722501902920025
118,816.8359985352 pc / cm3,178.2824840617,57.9875675964,True,40.0 pc / cm3,31.919574963618164 pc / cm3,744.9164235715818 pc / cm3,0.7073104319798821
119,632.4413452148 pc / cm3,15.3057707427,61.1451296527,False,40.0 pc / cm3,193.28507687541438 pc / cm3,399.15626833938563 pc / cm3,0.3393614909770224
120,1485.2667236328 pc / cm3,335.2793208012,31.2894594942,True,40.0 pc / cm3,64.52249502676841 pc / cm3,1380.7442286060316 pc / cm3,1.3762286557784777
121,515.9815673828 pc / cm3,244.0032299761,17.3667858877,True,40.0 pc / cm3,35.082008861071905 pc / cm3,440.89955852172807 pc / cm3,0.38450283343357977
122,1699.5850830078 pc / cm3,252.2578464379,21.7915445429,True,40.0 pc / cm3,43.227697665368964 pc / cm3,1616.357385342431 pc / cm3,1.6258169652162588
123,635.6763305664 pc / cm3,248.1266937835,2.8349016533,True,40.0 pc / cm3,52.20346933992988 pc / cm3,543.4728612264701 pc / cm3,0.49430794913513393
124,635.6763305664 pc / cm3,247.8991829666,47.8396870418,True,40.0 pc / cm3,37.40766173652494 pc / cm3,558.2686688298751 pc / cm3,0.5100461784935317
125,1256.7952880859 pc / cm3,204.9977995713,51.7742986914,True,40.0 pc / cm3,29.746878193317063 pc / cm3,1187.0484098925829 pc / cm3,1.1723107992078556
126,214.7227325439 pc / cm3,98.7211114606,17.3758665956,False,40.0 pc / cm3,145.28871070188964 pc / cm3,29.434021842010367 pc / cm3,
127,611.8182983398 pc / cm3,156.324703155,36.5344760319,True,40.0 pc / cm3,33.06813603907611 pc / cm3,538.7501623007239 pc / cm3,0.4892799510196126
128,449.6641845703 pc / cm3,263.4101680158,4.1048969001,False,40.0 pc / cm3,96.80176006884003 pc / cm3,312.86242450145994 pc / cm3,0.24484948049492333
129,562.4846191406 pc / cm3,193.7126222663,71.6130489512,True,40.0 pc / cm3,36.29464735251216 pc / cm3,486.18997178808786 pc / cm3,0.4331557051893214
130,771.546081543 pc / cm3,222.4844089054,15.7375123173,True,40.0 pc / cm3,23.512171796851106 pc / cm3,708.0339097461489 pc / cm3,0.6684611270777582
131,664.3869018555 pc / cm3,208.6120136814,55.2508490347,True,40.0 pc / cm3,30.69876074956312 pc / cm3,593.6881411059369 pc / cm3,0.5476431543346891
132,328.3518981934 pc / cm3,257.54622336,31.10239729,True,40.0 pc / cm3,44.76873258347187 pc / cm3,243.58316560992813 pc / cm3,0.1673982881170894
133,714.9337158203 pc / cm3,122.5152586499,22.9063766285,True,40.0 pc / cm3,59.28730471479736 pc / cm3,615.6464111055027 pc / cm3,0.5709026770855831
134,375.6636962891 pc / cm3,251.5462551071,24.614001704,True,40.0 pc / cm3,40.91708618707425 pc / cm3,294.7466101020258 pc / cm3,0.22475402961875982
135,54.1861534119 pc / cm3,185.1015862999,8.8991894422,True,40.0 pc / cm3,28.49678760695314 pc / cm3,0,
136,141.1266174316 pc / cm3,100.9313541318,83.7948589793,False,40.0 pc / cm3,55.52724133210853 pc / cm3,45.59937609949148 pc / cm3,
137,1085.7448730469 pc / cm3,120.2943227285,53.7003115193,True,40.0 pc / cm3,51.24997824814719 pc / cm3,994.4948947987529 pc / cm3,0.9697823207298966
138,262.4389038086 pc / cm3,187.655360185,17.09831584,True,40.0 pc / cm3,24.215673771158237 pc / cm3,198.22323003744177 pc / cm3,0.11566244718900243
139,853.2297363281 pc / cm3,130.8329631919,59.573054862,True,40.0 pc / cm3,44.507580739293594 pc / cm3,768.7221555888063 pc / cm3,0.7323661463681751
140,211.8921203613 pc / cm3,241.1489210516,83.8091787403,True,40.0 pc / cm3,47.87511360028293 pc / cm3,124.01700676101706 pc / cm3,0.02868231136372027
141,2395.1088867188 pc / cm3,241.501509338,27.9359299985,True,40.0 pc / cm3,29.71003072711964 pc / cm3,2325.39885599168 pc / cm3,2.399106148736095
142,540.2440185547 pc / cm3,104.4198924753,81.7378946116,True,40.0 pc / cm3,55.204924382827166 pc / cm3,445.0390941718728 pc / cm3,0.38896270027123775
143,262.4389038086 pc / cm3,1.4486623999,25.0423510113,True,40.0 pc / cm3,42.74788943869214 pc / cm3,179.69101436990786 pc / cm3,0.09424003939848656
144,226.045211792 pc / cm3,335.0682226526,61.8256784767,False,40.0 pc / cm3,202.2458355182278 pc / cm3,0,
145,552.3752441406 pc / cm3,27.4622128075,21.6025310774,True,40.0 pc / cm3,42.60827032666595 pc / cm3,469.76697381393404 pc / cm3,0.4155482017633247
146,496.5715942383 pc / cm3,199.0521413819,4.6748515648,True,40.0 pc / cm3,27.094729590602075 pc / cm3,429.47686464769794 pc / cm3,0.37218137351907754
147,274.9661254883 pc / cm3,142.8921096692,59.3912720242,True,40.0 pc / cm3,39.62540301285205 pc / cm3,195.34072247544796 pc / cm3,0.11234208798699533
148,417.7186279297 pc / cm3,137.7985801438,38.4908971034,True,40.0 pc / cm3,41.74743267090699 pc / cm3,335.97119525879305 pc / cm3,0.270343198801666
149,635.6763305664 pc / cm3,331.792668901,33.7288874535,False,40.0 pc / cm3,76.7825703187305 pc / cm3,518.8937602476694 pc / cm3,0.46811448299588393
150,671.6656494141 pc / cm3,228.3288050536,76.6691290646,True,40.0 pc / cm3,40.95215137212695 pc / cm3,590.713498041973 pc / cm3,0.5444895433141719
151,349.7837524414 pc / cm3,124.5333462073,13.8024683964,True,40.0 pc / cm3,60.6735013887453 pc / cm3,249.1102510526547 pc / cm3,0.17364141488763263
152,845.9509887695 pc / cm3,219.170282967,48.2142308988,True,40.0 pc / cm3,30.588650623701554 pc / cm3,775.3623381457984 pc / cm3,0.7393527917218137
153,737.5786743164 pc / cm3,183.9438279258,30.8727623615,True,40.0 pc / cm3,19.834595825424305 pc / cm3,677.7440784909757 pc / cm3,0.6365207869645944
154,446.4291992188 pc / cm3,123.7099330706,74.7351286563,True,40.0 pc / cm3,49.1760138405327 pc / cm3,357.25318537826735 pc / cm3,0.2936949733989256
155,338.0568847656 pc / cm3,192.7293061654,30.8903273562,True,40.0 pc / cm3,19.834578648095682 pc / cm3,278.22230611750433 pc / cm3,0.20633202750269794
156,545.5009155273 pc / cm3,196.1163220307,72.5197407592,True,40.0 pc / cm3,36.76415081522659 pc / cm3,468.7367647120734 pc / cm3,0.4144424287958124
157,513.5552978516 pc / cm3,196.3639282649,32.4629959661,True,40.0 pc / cm3,19.954650952239547 pc / cm3,453.60064689936047 pc / cm3,0.39817803945611624
158,766.2892456055 pc / cm3,249.7073237888,50.5944858046,True,40.0 pc / cm3,38.07391677919243 pc / cm3,688.2153288263075 pc / cm3,0.6475667635158832
159,417.314239502 pc / cm3,4.0862995343,79.4436827992,False,40.0 pc / cm3,82.68072495611135 pc / cm3,294.63351454588866 pc / cm3,0.22462825052062363
160,353.018737793 pc / cm3,265.0141554597,46.7074100727,True,40.0 pc / cm3,46.810494274012385 pc / cm3,266.2082435189876 pc / cm3,0.19287911776107655
161,414.4836425781 pc / cm3,239.1249989417,29.4431403223,True,40.0 pc / cm3,27.935310464378457 pc / cm3,346.54833211372153 pc / cm3,0.2819634335908083
162,2533.4047851562 pc / cm3,195.550395667,46.6897389773,True,40.0 pc / cm3,25.965696420844147 pc / cm3,2467.4390887353557 pc / cm3,2.559715142985973
163,480.800994873 pc / cm3,264.8718561489,57.1998165621,True,40.0 pc / cm3,45.147776521075755 pc / cm3,395.65321835192424 pc / cm3,0.33555828643135405
164,658.3212890625 pc / cm3,228.4372794819,63.4069387819,True,40.0 pc / cm3,34.871078944922075 pc / cm3,583.450210117578 pc / cm3,0.5367863945375275
165,283.0619812012 pc / cm3,98.7211114606,12.1869041551,False,40.0 pc / cm3,155.154106043694 pc / cm3,87.90787515750603 pc / cm3,
166,580.6814575195 pc / cm3,339.1057463986,60.2142416088,False,40.0 pc / cm3,229.72370694093826 pc / cm3,310.95775057856173 pc / cm3,0.24274139100663097
167,302.067565918 pc / cm3,242.9059727141,59.5630135294,True,40.0 pc / cm3,36.79084951700998 pc / cm3,225.27671640099004 pc / cm3,0.1466297397091846
168,913.8858642578 pc / cm3,191.7443667868,76.7978174947,True,40.0 pc / cm3,39.5876663461748 pc / cm3,834.2981979116252 pc / cm3,0.8013342360249565
169,370.406829834 pc / cm3,279.7750636491,31.2438844938,False,40.0 pc / cm3,90.72771296790391 pc / cm3,239.67911686609608 pc / cm3,0.16298099904215776
170,75.2136154175 pc / cm3,307.2974443965,29.0145748534,False,40.0 pc / cm3,226.467836199207 pc / cm3,0,
171,823.3060302734 pc / cm3,154.5265641925,63.0893418436,True,40.0 pc / cm3,37.17487747987439 pc / cm3,746.1311527935256 pc / cm3,0.7085892723279952
172,386.581817627 pc / cm3,148.1464602405,50.2007890051,True,40.0 pc / cm3,36.815999646547624 pc / cm3,309.7658179804524 pc / cm3,0.24142160890834022
173,302.8763427734 pc / cm3,161.7260394879,63.9341762399,True,40.0 pc / cm3,35.99477648123487 pc / cm3,226.8815662921651 pc / cm3,0.1484561822002074
