event_id,dm,RA,Dec,is_in_DESI,DMhalo,DMISM,DM_Cosm,z
3043,1149.6361083984 pc / cm3,223.6449976198,55.2508490347,True,40.0 pc / cm3,32.26045110277476 pc / cm3,1077.3756572956252 pc / cm3,1.0569948352327982
3044,1513.5728759766 pc / cm3,123.9940370575,48.5484452768,True,40.0 pc / cm3,49.420490144715764 pc / cm3,1424.1523858318842 pc / cm3,1.4220487396322699
3045,182.7771759033 pc / cm3,116.7291084414,14.5555744951,True,40.0 pc / cm3,76.39334592626558 pc / cm3,66.38382997703441 pc / cm3,
3046,507.0853271484 pc / cm3,123.0344085109,74.66471562,True,40.0 pc / cm3,49.38999969705693 pc / cm3,417.6953274513431 pc / cm3,0.3594490140142177
3047,100.2848205566 pc / cm3,221.8957998851,39.2599748089,True,40.0 pc / cm3,23.63137781827117 pc / cm3,36.65344273832883 pc / cm3,
3048,1319.8372802734 pc / cm3,230.9157025495,61.7697412707,True,40.0 pc / cm3,34.792743059234525 pc / cm3,1245.0445372141655 pc / cm3,1.2333033798262958
3049,464.2216491699 pc / cm3,149.694601419,59.9664950109,True,40.0 pc / cm3,37.65049917747143 pc / cm3,386.57114999242856 pc / cm3,0.32568628680437406
3050,813.6010131836 pc / cm3,100.9991239296,8.8722173053,False,40.0 pc / cm3,154.2336314170189 pc / cm3,619.367381766581 pc / cm3,0.57484087716789
3051,302.4719543457 pc / cm3,208.5143713161,73.3387769615,True,40.0 pc / cm3,37.42834386318737 pc / cm3,225.04361048251263 pc / cm3,0.14636435291331962
3052,195.7171478271 pc / cm3,335.2113796772,55.2569699393,False,40.0 pc / cm3,240.51976568036744 pc / cm3,0,
3053,338.0568847656 pc / cm3,355.3129046574,83.5623891209,False,40.0 pc / cm3,67.74037909224617 pc / cm3,230.31650567335382 pc / cm3,0.1523616152248533
3054,350.9968566895 pc / cm3,260.334807825,49.0094179566,True,40.0 pc / cm3,43.20572439487016 pc / cm3,267.79113229462985 pc / cm3,0.19465454414822347
3055,350.9968566895 pc / cm3,115.9155712235,18.7178641951,True,40.0 pc / cm3,74.28470000275918 pc / cm3,236.71215668674085 pc / cm3,0.1596197756544344
3056,326.7344055176 pc / cm3,152.1140367164,36.5344760319,True,40.0 pc / cm3,35.07603773154802 pc / cm3,251.658367786052 pc / cm3,0.17651554837878924
3057,636.0807495117 pc / cm3,205.5280552356,20.4971124829,True,40.0 pc / cm3,22.54853360056929 pc / cm3,573.5322159111307 pc / cm3,0.5262609437224559
3058,756.9886474609 pc / cm3,245.7452870163,59.4374964889,True,40.0 pc / cm3,37.534551634189675 pc / cm3,679.4540958267103 pc / cm3,0.6383249807088934
3059,860.1040649414 pc / cm3,143.4952838501,46.9639178921,True,40.0 pc / cm3,38.457465655495724 pc / cm3,781.6465992859042 pc / cm3,0.7459641728122902
3060,912.6727294922 pc / cm3,211.2334544477,32.9187755079,True,40.0 pc / cm3,22.366555897261055 pc / cm3,850.306173594939 pc / cm3,0.8181636711534127
3061,637.2938232422 pc / cm3,279.7809296873,59.3960539842,True,40.0 pc / cm3,56.166395588526534 pc / cm3,541.1274276536735 pc / cm3,0.49181117429271387
3062,1143.5704345703 pc / cm3,179.8971683697,-5.0764144574,True,40.0 pc / cm3,34.05365185296643 pc / cm3,1069.5167827173336 pc / cm3,1.04872871938342
3063,899.3283691406 pc / cm3,238.2957882243,46.2994653031,True,40.0 pc / cm3,33.267095240505434 pc / cm3,826.0612739000945 pc / cm3,0.7926740094590815
3064,368.3849487305 pc / cm3,202.5077386359,33.7104684951,True,40.0 pc / cm3,23.004682037262317 pc / cm3,305.3802666932377 pc / cm3,0.23656196180409542
3065,2654.7170410156 pc / cm3,232.1416859303,41.6601446352,True,40.0 pc / cm3,26.818861821345692 pc / cm3,2587.898179194254 pc / cm3,2.69773115701902
3066,657.108215332 pc / cm3,319.9535605379,39.6453491176,False,40.0 pc / cm3,176.9911978993799 pc / cm3,440.11701743262006 pc / cm3,0.383659419655719
3067,973.733215332 pc / cm3,257.8760430439,56.8091858082,True,40.0 pc / cm3,41.5947359630882 pc / cm3,892.1384793689118 pc / cm3,0.8621399568583451
3068,529.3259277344 pc / cm3,192.7293061654,70.4403380349,True,40.0 pc / cm3,35.71017577218869 pc / cm3,453.61575196221133 pc / cm3,0.39819428787918804
3069,242.6245574951 pc / cm3,131.6807184746,77.6357965139,True,40.0 pc / cm3,47.71569637235134 pc / cm3,154.90886112274865 pc / cm3,0.0652964166349365
3070,376.8768310547 pc / cm3,283.6787318207,25.2496689496,False,40.0 pc / cm3,148.4908580428674 pc / cm3,188.38597301183262 pc / cm3,0.10431342685988378
3071,439.5548400879 pc / cm3,138.5821633245,-9.2463570482,False,40.0 pc / cm3,58.848767538183665 pc / cm3,340.70607254971634 pc / cm3,0.2755486319126652
3072,394.6692810059 pc / cm3,245.9505901933,21.1624671483,True,40.0 pc / cm3,35.49677295758866 pc / cm3,319.17250804831133 pc / cm3,0.25182583747095016
3073,444.811706543 pc / cm3,22.6132857896,0.0,True,40.0 pc / cm3,32.951764555002654 pc / cm3,371.85994198799733 pc / cm3,0.3096580448447144
3074,549.5446166992 pc / cm3,218.055841267,62.3298925088,True,40.0 pc / cm3,33.28739944518696 pc / cm3,476.257217254013 pc / cm3,0.4225110145631505
3075,519.2165527344 pc / cm3,224.3324035673,8.209334521,True,40.0 pc / cm3,26.575187418563285 pc / cm3,452.6413653158367 pc / cm3,0.397146079106991
3076,1381.3002929688 pc / cm3,237.6717840201,59.5448111836,True,40.0 pc / cm3,35.54814631328142 pc / cm3,1305.7521466555186 pc / cm3,1.2971949062897947
3077,975.350769043 pc / cm3,220.4271965711,50.1474085524,True,40.0 pc / cm3,30.940834589703982 pc / cm3,904.409934453296 pc / cm3,0.8750408704564168
3078,623.1407470703 pc / cm3,120.7157260128,48.6560716106,True,40.0 pc / cm3,52.066127846088854 pc / cm3,531.0746192242111 pc / cm3,0.48110336426767075
3079,289.5319824219 pc / cm3,240.847901931,81.2305934706,True,40.0 pc / cm3,45.74166606571173 pc / cm3,203.79031635618827 pc / cm3,0.12206343237847496
3080,304.0894470215 pc / cm3,19.0185117224,21.9505878619,True,40.0 pc / cm3,40.95580421333598 pc / cm3,223.13364280816404 pc / cm3,0.1441889815481066
3081,1370.0200195312 pc / cm3,189.6225745006,49.4313608569,True,40.0 pc / cm3,27.180708008526377 pc / cm3,1302.8393115226736 pc / cm3,1.2941277720259248
3082,841.0985107422 pc / cm3,191.6276280874,27.7658475918,True,40.0 pc / cm3,19.819518320234458 pc / cm3,781.2789924219655 pc / cm3,0.7455774503119461
3083,1573.8247070312 pc / cm3,120.7668823754,73.2285876672,True,40.0 pc / cm3,50.00584564085988 pc / cm3,1483.81886139034 pc / cm3,1.4851363061619904
3084,111.6072998047 pc / cm3,124.8785214151,47.446669266,True,40.0 pc / cm3,48.968140027927205 pc / cm3,22.6391597767728 pc / cm3,
3085,1215.9534912109 pc / cm3,122.2119256118,32.8549158023,True,40.0 pc / cm3,55.2738211661629 pc / cm3,1120.6796700447371 pc / cm3,1.1025321364721103
3086,668.0263061523 pc / cm3,269.3608029869,59.3912720242,True,40.0 pc / cm3,47.80499175013077 pc / cm3,580.2213144021692 pc / cm3,0.5333606176953007
