event_id,dm,RA,Dec,DMhalo,DMISM,DM_Cosm,z
43,579.4683227539 pc / cm3,232.463731543,65.0013022345,40.0 pc / cm3,75.0 pc / cm3,364.4683227539 pc / cm3,0.4098592654337392
44,1951.5102539062 pc / cm3,134.0772021648,65.145400332,40.0 pc / cm3,75.0 pc / cm3,1736.5102539062 pc / cm3,1.8616561038223691
45,717.7643432617 pc / cm3,60.0523393557,69.6187148768,40.0 pc / cm3,75.0 pc / cm3,502.7643432617 pc / cm3,0.5572613568362186
46,3827.8068847656 pc / cm3,320.6346500473,32.4131093941,40.0 pc / cm3,75.0 pc / cm3,3612.8068847656 pc / cm3,4.09568063366116
47,773.1636352539 pc / cm3,183.9438279258,24.7585338757,40.0 pc / cm3,75.0 pc / cm3,558.1636352539 pc / cm3,0.6158524113298831
48,287.9144897461 pc / cm3,77.5929263695,52.5865783197,40.0 pc / cm3,75.0 pc / cm3,72.9144897461 pc / cm3,0.08636064325941109
49,479.587890625 pc / cm3,320.5019735251,45.5292944448,40.0 pc / cm3,75.0 pc / cm3,264.587890625 pc / cm3,0.30171700552879605
50,416.1011352539 pc / cm3,1.0050094143,-7.8268227652,40.0 pc / cm3,75.0 pc / cm3,201.1011352539 pc / cm3,0.2318145515371691
51,579.0639648438 pc / cm3,42.0197268702,24.6328067795,40.0 pc / cm3,75.0 pc / cm3,364.0639648438 pc / cm3,0.4094249549424625
52,1625.1801757812 pc / cm3,274.6012321911,34.3993660308,40.0 pc / cm3,75.0 pc / cm3,1410.1801757812 pc / cm3,1.5130532318272316
53,496.5715942383 pc / cm3,35.5021060087,52.3309685119,40.0 pc / cm3,75.0 pc / cm3,281.5715942383 pc / cm3,0.32024445541980534
54,1030.3455810547 pc / cm3,199.5148441289,40.4718479202,40.0 pc / cm3,75.0 pc / cm3,815.3455810547 pc / cm3,0.886538049196138
55,508.2984619141 pc / cm3,235.3050839192,43.1299388251,40.0 pc / cm3,75.0 pc / cm3,293.2984619141 pc / cm3,0.3330003629937105
56,1484.4580078125 pc / cm3,279.4327684141,-7.0447089046,40.0 pc / cm3,75.0 pc / cm3,1269.4580078125 pc / cm3,1.3643247387881199
57,29.1149482727 pc / cm3,100.3153710155,57.7646665587,40.0 pc / cm3,75.0 pc / cm3,0,
58,188.8427886963 pc / cm3,141.4729237973,63.5249556881,40.0 pc / cm3,75.0 pc / cm3,-26.157211303699995 pc / cm3,
59,677.731262207 pc / cm3,271.5663863347,38.7108225158,40.0 pc / cm3,75.0 pc / cm3,462.731262207 pc / cm3,0.5147890088722696
60,48.5249137878 pc / cm3,353.5229865548,36.6434352964,40.0 pc / cm3,75.0 pc / cm3,0,
61,918.7383422852 pc / cm3,245.6915392536,43.1992540799,40.0 pc / cm3,75.0 pc / cm3,703.7383422852 pc / cm3,0.7692007091235267
62,749.3055419922 pc / cm3,204.8612694874,12.4146255562,40.0 pc / cm3,75.0 pc / cm3,534.3055419922 pc / cm3,0.590642318647
63,1133.4610595703 pc / cm3,262.2554992246,89.0837326867,40.0 pc / cm3,75.0 pc / cm3,918.4610595703 pc / cm3,0.9950041812015821
64,874.6615600586 pc / cm3,56.0399885696,44.9085504456,40.0 pc / cm3,75.0 pc / cm3,659.6615600586 pc / cm3,0.7228313314813485
65,190.4602813721 pc / cm3,271.5663863347,61.8931217402,40.0 pc / cm3,75.0 pc / cm3,-24.539718627899987 pc / cm3,
66,686.2231445312 pc / cm3,147.9635336173,30.3613348997,40.0 pc / cm3,75.0 pc / cm3,471.2231445312 pc / cm3,0.5238092734015437
67,106.7548065186 pc / cm3,73.8552484391,39.9890765749,40.0 pc / cm3,75.0 pc / cm3,0,
68,479.1835021973 pc / cm3,182.6691624585,10.3584602877,40.0 pc / cm3,75.0 pc / cm3,264.1835021973 pc / cm3,0.3012750557938124
69,234.5370788574 pc / cm3,335.2113796772,53.5243313322,40.0 pc / cm3,75.0 pc / cm3,19.53707885739999 pc / cm3,0.023318296237857618
70,929.6564331055 pc / cm3,0.0,73.637703915,40.0 pc / cm3,75.0 pc / cm3,714.6564331055 pc / cm3,0.7806821047089522
